"gender","age","education","income","fin_status","region","settlement_type","pol_interest","voted_binary","evote_awareness","evote_knowledge","evote_definition_correct","digital_skills_index","digital_trust_index","deliberation_index","civic_duty_index","electoral_responsibility_index","perc_accessibility","perc_security","perc_transparency","perc_anonymity","institutional_trust_index","electoral_integrity_index","evote_willingness","disinfo_personal_impact"
"Жіноча","25-34 роки","Магістр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (до 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,3.6,3.9,5,4.45,3.66666666666667,2.5,4.5,1,3,3.75,"Скоріше так",NA
"Жіноча","45-60 років","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,5,3.8,5,4.4,5,3.5,5,5,3,5,"Так",NA
"Жіноча","45-60 років","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Селище міського типу","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4.75,4.6,3,4,3.5,3.66666666666667,3.25,4.5,4,3,4,"Скоріше так",NA
"Жіноча","25-34 роки","Бакалавр","Від 401 до 600 тис. гривень","Можемо купувати дорогі речі","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4.2,4.4,4.6,4.5,3.33333333333333,1.75,3.5,4,1.8,3.5,"Скоріше так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Селище міського типу","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,3.8,4.5,4.6,4.55,4.66666666666667,3,3.5,3,1,1.5,"Так",NA
"Чоловіча","35-44 роки","Магістр","Понад 1 мільйон гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,4.6,4.1,4.8,4.45,5,2.5,4.5,4,2.4,3.75,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4.4,5,4.7,4.33333333333333,3.25,4.5,5,3,3,"Скоріше так",NA
"Жіноча","45-60 років","Бакалавр","Менше ніж 100 тис. гривень","Не вистачає на базові потреби","Південь України (Миколаївська, Одеська, Херсонська обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4,3.8,2.7,4.8,3.75,5,3,4,1,2.6,4.5,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 101 до 200 тис. гривень","Не вистачає на базові потреби","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4.2,3,5,4,4.66666666666667,3,5,5,4,4,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Селище міського типу","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,4,4.1,4.8,4.45,4,2.75,4,3,3,3.5,"Так",NA
"Жіноча","25-34 роки","Бакалавр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4.6,4.4,4,4.2,3.33333333333333,4.25,5,4,3,3,"Скоріше так",NA
"Жіноча","45-60 років","Бакалавр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Певною мірою цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,2,2.6,4.3,5,4.65,4,3.25,4.5,4,3.6,3.75,"Так",NA
"Жіноча","45-60 років","Середня освіта","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Південь України (Миколаївська, Одеська, Херсонська обл.)","Село","Радше не цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,3.25,3.2,2.3,4,3.15,2.66666666666667,2.75,3,3,3.2,3,"Не знаю / залежить від умов",NA
"Жіноча","25-34 роки","Магістр","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4.3,4.8,4.55,3.33333333333333,4,4,5,4,4,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Селище міського типу","Радше цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,4.5,4,4.4,4.2,4.3,5,4.25,5,5,4,4,"Так",NA
"Жіноча","25-34 роки","Магістр","Понад 1 мільйон гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4.6,4.1,4.6,4.35,3.33333333333333,2.25,3.5,2,2,2.5,"Скоріше так",NA
"Жіноча","60+ років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4.1,5,4.55,4.66666666666667,3.5,4,4,3.4,3,"Так",NA
"Жіноча","25-34 роки","Магістр","Від 801 до 1 мільйонна гривень","Можемо купувати дорогі речі","Зараз проживаю за межами України","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, добре знайомий/а з темою",3,1,3,4,NA,NA,NA,4.66666666666667,3,3.5,3,2.6,3.25,"Так",NA
"Жіноча","35-44 роки","Магістр","Менше ніж 100 тис. гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4,3.6,4.6,3.6,4.1,3.33333333333333,1.5,4,3,3.2,3.75,"Не знаю / залежить від умов",NA
"Жіноча","45-60 років","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Селище міського типу","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4.6,3.2,4.8,4,5,4,2.5,5,3,4.25,"Так",NA
"Жіноча","45-60 років","Бакалавр","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (до 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4.5,4.4,4.1,4.8,4.45,5,3.75,2.5,3,4,3.25,"Скоріше так",NA
"Жіноча","45-60 років","Магістр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,2.5,4.2,4.4,5,4.7,4,2.75,4,4,3.8,4.5,"Так",NA
"Чоловіча","25-34 роки","Магістр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Південь України (Миколаївська, Одеська, Херсонська обл.)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,4,3.7,3.6,3.65,3.33333333333333,2.75,4,3,4,3.75,"Скоріше так",NA
"Жіноча","35-44 роки","Магістр","Від 101 до 200 тис. гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,3.4,3.9,3.8,3.85,1.33333333333333,1.5,2.5,2,2.6,2.75,"Скоріше ні",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,4.25,4.6,3.9,4.2,4.05,4.66666666666667,3.75,4.5,4,2,2.5,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, добре знайомий/а з темою",3,0,3,3,3.2,4,3.6,4.33333333333333,3,3.5,3,4,4,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 801 до 1 мільйонна гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Південь України (Миколаївська, Одеська, Херсонська обл.)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, добре знайомий/а з темою",3,1,4,2.8,4.5,4.6,4.55,3.33333333333333,2,3.5,2,2.4,3,"Скоріше так",NA
"Жіноча","25-34 роки","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,3.2,4.4,3.8,3.33333333333333,4,3,5,4,5,"Так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4.6,4.4,4.8,4.6,4.33333333333333,3.5,3,4,3.6,4.5,"Так",NA
"Жіноча","18-24 роки","Бакалавр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,4,4.1,4,4.05,5,3.5,4.5,5,3.4,4,"Так",NA
"Жіноча","35-44 роки","Науковий ступінь (PhD)","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, добре знайомий/а з темою",3,1,3.75,4.6,4.8,5,4.9,4.66666666666667,3.75,5,4,3.2,3.75,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Радше не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,3.2,4.1,4.4,4.25,5,3.75,3.5,5,1,3,"Так",NA
"Чоловіча","25-34 роки","Бакалавр","Менше ніж 100 тис. гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, добре знайомий/а з темою",3,1,4.75,4.6,4.4,3,3.7,4.66666666666667,1.5,4.5,3,3.2,4,"Скоріше так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,5,3.4,4.6,4,3.33333333333333,3.25,4,3,3,3.75,"Скоріше так",NA
"Жіноча","45-60 років","Магістр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (до 100 тис. мешканців)","Радше цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,4.4,4.3,5,4.65,5,3.75,5,5,3.6,5,"Так",NA
"Жіноча","25-34 роки","Магістр","Менше ніж 100 тис. гривень","Не вистачає на базові потреби","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,1,3,2.3,3.2,2.75,4,3.5,3,2,1,2.25,"Так",NA
"Жіноча","45-60 років","Бакалавр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Радше цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,3.5,4.6,4.8,4.6,4.7,5,4.5,5,5,4.8,4.75,"Скоріше так",NA
"Жіноча","35-44 роки","Бакалавр","Від 401 до 600 тис. гривень","Не вистачає на базові потреби","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4.6,4.6,4.6,5,3.25,4,5,4.8,3.25,"Скоріше так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Південь України (Миколаївська, Одеська, Херсонська обл.)","Селище міського типу","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,3.5,3.2,3.8,4.4,4.1,4.33333333333333,2.5,4,2,3.4,2.5,"Так",NA
"Жіноча","45-60 років","Професійна освіта / коледж","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4.25,3.2,3.2,3.8,3.5,2,3,2,2,2,2,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4,3.2,3.4,3.3,3.66666666666667,3.5,3.5,3,3.4,2.25,"Так",NA
"Жіноча","45-60 років","Бакалавр","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4,4.8,3.2,3.4,3.3,4.66666666666667,3,4,3,2.4,2.25,"Так",NA
"Жіноча","60+ років","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,3,4.2,4.5,4.2,4.35,3.66666666666667,2.5,4,3,1.6,3.75,"Так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,3.5,4.2,3.5,4,3.75,3.66666666666667,3.5,3.5,3,3,3.75,"Так",NA
"Жіноча","35-44 роки","Професійна освіта / коледж","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,3.75,4,3.7,3.2,3.45,3.33333333333333,3,3,3,2.2,3,"Скоріше так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Південь України (Миколаївська, Одеська, Херсонська обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,5,4.8,3.8,4.3,3.66666666666667,2.75,4,3,3,3.5,"Скоріше так",NA
"Жіноча","45-60 років","Бакалавр","Менше ніж 100 тис. гривень","Можемо купувати дорогі речі","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Село","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4.6,4.6,5,4.8,4.66666666666667,4,5,5,2.6,4.25,"Так",NA
"Жіноча","35-44 роки","Магістр","Менше ніж 100 тис. гривень","Не вистачає на базові потреби","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4,4.2,4.6,4.4,4,3.25,3.5,4,3,2.5,"Скоріше так",NA
"Жіноча","45-60 років","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Село","Дуже цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4.25,3.6,4.2,5,4.6,4,3.5,2,3,4.8,5,"Так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,4,3.8,3.4,3.8,3.6,3.66666666666667,3,3,3,3,3.5,"Так",NA
"Жіноча","45-60 років","Бакалавр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4.1,5,4.55,5,4.75,3,5,4.6,5,"Так",NA
"Жіноча","45-60 років","Бакалавр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Місто (понад 100 тис. мешканців)","Дуже цікавлюся",1,"Так, добре знайомий/а з темою",3,0,5,4.2,5,5,5,5,5,5,5,3,5,"Так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Дуже цікавлюся",1,"Так, добре знайомий/а з темою",3,1,5,5,5,5,5,5,4.5,5,5,4.8,3,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 601 до 800 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",0,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,5,3.2,3.4,3.3,5,4.5,3,5,3,3,"Так",NA
"Жіноча","25-34 роки","Магістр","Від 601 до 800 тис. гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",NA,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,5,NA,NA,NA,4.33333333333333,3.75,4,4,4,4.25,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Селище міського типу","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,2.75,4.4,4.4,4.4,4.4,3.33333333333333,3.5,3,4,3,3,"Скоріше так",NA
"Жіноча","25-34 роки","Магістр","Від 401 до 600 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Південь України (Миколаївська, Одеська, Херсонська обл.)","Місто (понад 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,4.6,3.5,5,4.25,4.66666666666667,2.25,5,3,2.6,4,"Так",NA
"Жіноча","45-60 років","Магістр","Менше ніж 100 тис. гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,3.6,4.9,5,4.95,3.33333333333333,1.5,3.5,4,2,2.25,"Не знаю / залежить від умов",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Селище міського типу","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4.2,3.8,5,4.4,4,2.75,4.5,1,1.4,3.25,"Не знаю / залежить від умов",NA
"Чоловіча","25-34 роки","Магістр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,4.8,4.3,4.4,4.35,4.33333333333333,2.75,4.5,4,3.2,3.75,"Скоріше так",NA
"Жіноча","25-34 роки","Магістр","Менше ніж 100 тис. гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4.2,4.9,4.2,4.55,5,4,5,4,2.8,3.75,"Так",NA
"Жіноча","35-44 роки","Бакалавр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Селище міського типу","Радше не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,3.25,3,3,4,3.5,3.66666666666667,3.25,3,3,1.4,1.25,"Скоріше так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,5,5,4.7,5,4.85,5,4,5,3,2.6,4.25,"Скоріше так",NA
"Жіноча","45-60 років","Професійна освіта / коледж","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Південь України (Миколаївська, Одеська, Херсонська обл.)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,4.8,3.9,4.8,4.35,4,4.25,4,4,4,4,"Так",NA
"Жіноча","45-60 років","Магістр","Від 101 до 200 тис. гривень","Не вистачає на базові потреби","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Село","Певною мірою цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,2.5,4,4.1,3.8,3.95,3,2.5,3,3,3,3.25,"Не знаю / залежить від умов",NA
"Чоловіча","35-44 роки","Магістр","Понад 1 мільйон гривень","Можемо купувати дорогі речі","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4.6,3.8,5,4.4,3.33333333333333,2.25,4,3,3.6,4,"Скоріше так",NA
"Жіноча","35-44 роки","Магістр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Ні, зустрічаю це поняття вперше",1,0,4.75,4,4.3,4.6,4.45,3.33333333333333,3,4,2,1.2,2.25,"Так",NA
"Жіноча","45-60 років","Бакалавр","Від 201 до 400 тис. гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,5,3.4,4,3.7,4,3.75,4.5,4,4,4,"Так",NA
"Чоловіча","45-60 років","Бакалавр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,4.6,4.8,4.7,4.33333333333333,3.5,5,5,4.6,5,"Так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Село","Зовсім не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.5,5,3.6,4.2,3.9,4.66666666666667,3.25,5,5,4.2,3.75,"Так",NA
"Жіноча","45-60 років","Магістр","Від 201 до 400 тис. гривень","Не вистачає на базові потреби","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (до 100 тис. мешканців)","Радше не цікавлюся",1,"Так, добре знайомий/а з темою",3,1,3,5,4.8,4.4,4.6,4.33333333333333,3,4,3,3,4.25,"Так",NA
