"gender","age","education","income","fin_status","region","settlement_type","pol_interest","voted_binary","evote_awareness","evote_knowledge","evote_definition_correct","digital_skills_index","digital_trust_index","deliberation_index","civic_duty_index","electoral_responsibility_index","perc_accessibility","perc_security","perc_transparency","perc_anonymity","institutional_trust_index","electoral_integrity_index","evote_willingness","disinfo_personal_impact"
"Жіноча","25-34 роки","Магістр","Від 601 до 800 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше не цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,5,5,5,5,3.75,5,5,3.2,2.75,"Так",NA
"Жіноча","35-44 роки","Магістр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (до 100 тис. мешканців)","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,4.75,3.8,4.4,3.6,4,4.66666666666667,3.25,3.5,3,3,3.75,"Так",NA
"Жіноча","25-34 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,3.3,4.2,3.75,4.66666666666667,3,5,5,2.4,2.5,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Захід України (Закарпатська, Івано-Франківська, Львівська, Тернопільська, Хмельницька, Чернівецька обл.)","Місто (до 100 тис. мешканців)","Радше цікавлюся",1,"Так, добре знайомий/а з темою",3,1,4.75,5,4.5,5,4.75,3,1.75,3.5,2,2,3.25,"Скоріше ні",NA
"Жіноча","18-24 роки","Магістр","Від 401 до 600 тис. гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",NA,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,NA,NA,NA,5,3.75,4.5,4,3,2.75,"Так",NA
"Жіноча","18-24 роки","Магістр","Від 801 до 1 мільйонна гривень","Можемо купувати дорогі речі","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, добре знайомий/а з темою",3,1,3,5,4.3,5,4.65,5,4.25,5,5,3,4,"Так",NA
"Жіноча","35-44 роки","Магістр","Менше ніж 100 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Північ України (Волинська, Житомирська, Київська, Рівненська, Чернігівська обл., м. Київ)","Село","Певною мірою цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,5,3.8,4.2,4,5,2,4,3,3,3,"Скоріше так",NA
"Жіноча","35-44 роки","Магістр","Від 201 до 400 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Схід України (Дніпропетровська, Донецька, Луганська, Харківська, Запорізька обл.)","Селище міського типу","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,0,4.75,3,2.3,5,3.65,2.66666666666667,1.5,4,3,3,2.5,"Так",NA
"Чоловіча","25-34 роки","Магістр","Понад 1 мільйон гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Центр України (Вінницька, Кіровоградська, Полтавська, Черкаська, Сумська обл.)","Місто (понад 100 тис. мешканців)","Радше цікавлюся",1,"Так, добре знайомий/а з темою",3,1,4.75,3.2,4.4,3.2,3.8,3.33333333333333,2,3.5,1,1,1.25,"Так",NA
"Жіноча","35-44 роки","Магістр","Від 101 до 200 тис. гривень","Вистачає на харчування та одяг, але дорогі покупки недоступні","Південь України (Миколаївська, Одеська, Херсонська обл.)","Село","Радше цікавлюся",1,"Так, чув/чула, але маю загальне уявлення",2,1,5,4.6,4.1,4,4.05,3.66666666666667,4,4,5,3.2,4,"Скоріше так",NA
